TZ id,1 bed,2 bed,3 bed,4 bed
270,441,504,243,71
276,205,296,94,34
277,123,116,25,10
278,407,284,84,34
279,53,85,9,3
283,38,36,2,0
284,84,98,59,46
285,265,441,155,50
287,87,120,53,33
288,23,53,26,9
292,160,272,236,125
294,132,231,205,169
507,54,71,65,76
508,297,412,279,244
509,696,711,368,148
510,182,205,102,50
511,392,358,193,107
512,511,562,246,171
513,307,336,220,144
514,142,123,60,26
515,569,558,216,118
516,721,694,298,139
517,338,400,219,149
518,457,580,293,194
519,136,162,107,84
520,51,59,54,60
521,444,502,241,98
522,233,357,182,81
523,433,535,253,126
524,92,127,143,157
525,393,498,409,227
526,449,636,418,190
527,61,57,57,61
528,528,635,369,230
529,691,642,269,119
530,186,289,232,140
531,945,893,330,135
532,346,307,322,243
533,66,81,93,94
534,53,77,74,61
535,127,158,140,115
536,675,483,263,262
537,364,577,313,159
538,158,301,212,171
539,150,139,153,151
540,372,445,389,292
541,220,272,245,161
542,181,236,219,139
543,415,414,237,192
544,195,162,116,91
545,581,433,230,108
546,356,417,169,87
547,371,386,210,120
548,313,189,173,183
549,122,151,143,132
550,160,192,148,149
551,150,236,237,250
552,54,90,85,86
553,38,59,44,53
554,291,388,362,358
555,394,284,241,181
556,32,45,52,48
557,222,147,138,136
558,55,89,96,99
