STREET,ROADTYPE,Name,roadid
POZIERES AV,303,Pozieres Av,154
RABAUL WY,304,Rabaul Wy,155
ARMENTIERES WY,304,Armentieres Wy,160
MENIN RD,304,Menin Rd,161
SOMME WY,304,Somme Wy,274
ANTHONY L,304,Anthony L,363
LONE PINE PDE,304,Lone Pine Pde,375
FLERS WY,304,Flers Wy,376
BULLECOURT WY,304,Bullecourt Wy,377
ANZAC PDE,302,Anzac Pde,382
MADANG WY,304,Madang Wy,383
RABAUL WY,304,Rabaul Wy,384
ANZAC PDE,302,Anzac Pde,385
POZIERES AV,303,Pozieres Av,387
POZIERES AV,303,Pozieres Av,388
ROMANI WY,304,Romani Wy,389
POZIERES AV,303,Pozieres Av,397
FROMELLES WY,304,Fromelles Wy,491
ROBEY ST,304,Robey St,612
BEAUCHAMP RD,302,Beauchamp Rd,613
GAINFORD AV,304,Gainford Av,614
AMIENS WY,304,Amiens Wy,615
PERONNE WY,304,Peronne Wy,616
BEAUCHAMP RD,302,Beauchamp Rd,617
BAPAUME PDE,304,Bapaume Pde,620
EASTERN RD,304,Eastern Rd,621
MENIN RD,304,Menin Rd,622
BAPAUMETZ WY,304,Bapaumetz Wy,623
HAMEL RD,304,Hamel Rd,624
COMBLES PDE,304,Combles Pde,625
COMBLES PDE,304,Combles Pde,626
EASTERN RD,304,Eastern Rd,627
PERONNE WY,304,Peronne Wy,631
OCONNELL AV,304,Oconnell Av,632
GAINFORD AV,304,Gainford Av,633
BEAUCHAMP RD,302,Beauchamp Rd,634
MENIN RD,304,Menin Rd,635
POZIERES AV,303,Pozieres Av,637
DIVE ST,304,Dive St,685
JERSEY RD,304,Jersey Rd,686
BEAUCHAMP RD,302,Beauchamp Rd,687
ANZAC PDE,302,Anzac Pde,961
BEAUCHAMP RD,302,Beauchamp Rd,962
BEAUCHAMP RD,302,Beauchamp Rd,963
MESSINES PL,304,Messines Pl,966
DAUNT AV,303,Daunt Av,1191
POZIERES AV,303,Pozieres Av,1249
ANTHONY L,304,Anthony L,1330
COMBLES PDE,304,Combles Pde,1331
ANTHONY L,304,Anthony L,1402
DIVE ST,304,Dive St,1403
SHARP ST,304,Sharp St,1404
SHARP ST,304,Sharp St,1438
JERSEY RD,304,Jersey Rd,1439
ANTHONY ST,304,Anthony St,1440
JERSEY RD,304,Jersey Rd,1441
OCONNELL AV,304,Oconnell Av,1442
SHARP ST,304,Sharp St,1443
BEAUCHAMP RD,302,Beauchamp Rd,1444
BEAUCHAMP RD,302,Beauchamp Rd,1471
EASTERN RD,304,Eastern Rd,1472
BEAUCHAMP RD,302,Beauchamp Rd,1473
POULET ST,304,Poulet St,1474
POULET ST,304,Poulet St,1475
HOWELL AV,304,Howell Av,1476
ROBEY ST,304,Robey St,1813
JERSEY RD,304,Jersey Rd,1814
ROUNDABOUT,304,Roundabout,1817
JERSEY RD,304,Jersey Rd,2006
