STREET,ROADTYPE,Name,roadid
POZIERES AV,303,Pozieres Av,154
DAUNT AV,303,Daunt Av,288
PATERSON ST,304,Paterson St,289
ANZAC PDE,302,Anzac Pde,386
POZIERES AV,303,Pozieres Av,387
POZIERES AV,303,Pozieres Av,388
ROMANI PDE,304,Romani Pde,390
TRUSCOTT AV,304,Truscott Av,391
CLISBY WY,304,Clisby Wy,392
TRUSCOTT AV,304,Truscott Av,393
ROMANI PDE,304,Romani Pde,394
FINUCANE CR,304,Finucane Cr,395
FINUCANE CR,304,Finucane Cr,396
POZIERES AV,303,Pozieres Av,397
LAWSON ST,304,Lawson St,398
KAIN AV,304,Kain Av,399
BLAXLAND ST,304,Blaxland St,420
BLAXLAND ST,304,Blaxland St,421
WILKES AV,304,Wilkes Av,507
HURLEY CR,304,Hurley Cr,508
WILKES AV,304,Wilkes Av,509
LAWSON ST,304,Lawson St,550
TORRENS ST,304,Torrens St,555
OXLEY ST,304,Oxley St,556
FRANKLIN ST,303,Franklin St,579
LAWSON ST,304,Lawson St,581
LAWSON ST,304,Lawson St,582
HILLARY PDE,304,Hillary Pde,583
LANDY ST,304,Landy St,584
LAWSON ST,304,Lawson St,585
HILLARY PDE,304,Hillary Pde,586
LAWSON ST,304,Lawson St,587
BLAXLAND ST,304,Blaxland St,588
MENIN RD,304,Menin Rd,636
POZIERES AV,303,Pozieres Av,637
FRANKLIN ST,303,Franklin St,845
KAIN AV,304,Kain Av,848
ANZAC PDE,302,Anzac Pde,849
KAIN AV,304,Kain Av,850
ANZAC PDE,302,Anzac Pde,851
KAIN AV,304,Kain Av,852
MEEHAN ST,304,Meehan St,853
FRANKLIN ST,303,Franklin St,875
FINUCANE CR,304,Finucane Cr,907
LAWSON ST,304,Lawson St,908
KAIN AV,304,Kain Av,909
OXLEY ST,304,Oxley St,910
FRANKLIN ST,303,Franklin St,936
KNOWLES AV,304,Knowles Av,937
FLANDERS AV,304,Flanders Av,938
FINUCANE CR,304,Finucane Cr,939
MENIN RD,304,Menin Rd,940
LAROSE AV,304,Larose Av,941
LAROSE AV,304,Larose Av,942
FRANKLIN ST,304,Franklin St,943
FLINDERS ST,304,Flinders St,944
CUNNINGHAM ST,304,Cunningham St,945
BURKE ST,304,Burke St,1011
LAWSON ST,304,Lawson St,1012
ANZAC PDE,302,Anzac Pde,1165
HILLARY PDE,304,Hillary Pde,1166
OXLEY ST,304,Oxley St,1167
OXLEY ST,304,Oxley St,1168
HILLARY PDE,304,Hillary Pde,1169
DAUNT AV,303,Daunt Av,1191
PATERSON ST,304,Paterson St,1192
MEEHAN ST,304,Meehan St,1220
LAWSON ST,304,Lawson St,1221
LAWSON ST,304,Lawson St,1222
MEEHAN L,304,Meehan L,1223
LAWSON ST,304,Lawson St,1224
OXLEY ST,304,Oxley St,1225
ANZAC PDE,302,Anzac Pde,1226
LAWSON ST,304,Lawson St,1227
ANZAC PDE,302,Anzac Pde,1228
FRANKLIN ST,304,Franklin St,1231
WINDSOR ST,304,Windsor St,1242
PATERSON ST,304,Paterson St,1243
KNOWLES AV,304,Knowles Av,1248
POZIERES AV,303,Pozieres Av,1249
NAMOI RD,304,Namoi Rd,1317
PATERSON ST,304,Paterson St,1318
CLARENCE ST,304,Clarence St,1319
HUNTER AV,304,Hunter Av,1320
CLARENCE ST,304,Clarence St,1321
FRANKLIN ST,303,Franklin St,1322
BARWON CR,304,Barwon Cr,1692
FRANKLIN ST,304,Franklin St,1693
KNOWLES AV,304,Knowles Av,1830
FRANKLIN ST,303,Franklin St,1831
FRANKLIN ST,303,Franklin St,1832
ROUNDABOUT,303,Roundabout,1835
ROUNDABOUT,303,Roundabout,1836
ROUNDABOUT,303,Roundabout,1901
ROUNDABOUT,303,Roundabout,1902
KNOWLES AV,304,Knowles Av,1958
KNOWLES AV,304,Knowles Av,1959
BARWON CR,304,Barwon Cr,1960
GWYDIR AV,304,Gwydir Av,1961
