STREET,ROADTYPE,Name,roadid
TYRWHITT ST,304,Tyrwhitt St,103
MALABAR RD,302,Malabar Rd,105
MALABAR RD,302,Malabar Rd,108
MALABAR RD,302,Malabar Rd,236
MALABAR RD,302,Malabar Rd,258
MONS AV,304,Mons Av,259
MALABAR RD,302,Malabar Rd,261
ROSSITER L,304,Rossiter L,772
WRIDE ST,304,Wride St,901
MALABAR RD,302,Malabar Rd,902
WRIDE ST,304,Wride St,903
DUNCAN ST,304,Duncan St,904
DUNCAN ST,304,Duncan St,905
MCKEON ST,304,Mckeon St,906
ROSSITER AV,304,Rossiter Av,916
ROSSITER L,304,Rossiter L,917
MAXWELL AV,304,Maxwell Av,918
MAXWELL AV,304,Maxwell Av,919
CHAPMAN AV,304,Chapman Av,920
MALABAR RD,302,Malabar Rd,1021
MAROUBRA RD,303,Maroubra Rd,1022
MALABAR RD,302,Malabar Rd,1025
MAROUBRA RD,303,Maroubra Rd,1061
DUNCAN ST,304,Duncan St,1062
DUNCAN ST,304,Duncan St,1063
MONS AV,304,Mons Av,1069
PATH,400,Path,1070
CHAPMAN AV,304,Chapman Av,1071
FENTON AV,304,Fenton Av,1072
MCKEON ST,304,Mckeon St,1073
MONS AV,304,Mons Av,1090
MARINE PDE,303,Marine Pde,1091
MAROUBRA RD,303,Maroubra Rd,1093
THE CAUSEWAY,304,The Causeway,1094
MAROUBRA RD,303,Maroubra Rd,1095
MAROUBRA RD,303,Maroubra Rd,1097
HEREWARD ST,304,Hereward St,1098
SEVERN ST,304,Severn St,1099
MARINE PDE,303,Marine Pde,1100
MCKEON ST,304,Mckeon St,1101
MARINE PDE,303,Marine Pde,1102
FENTON AV,304,Fenton Av,1140
FENTON AV,304,Fenton Av,1141
PATH,400,Path,1142
BROOME ST,304,Broome St,1295
BROOME ST,304,Broome St,1296
BROOME ST,304,Broome St,1297
BROOME ST,304,Broome St,1298
CURTIN CR,304,Curtin Cr,1426
SCOTT ST,304,Scott St,1694
SCOTT ST,304,Scott St,1695
BROOME L,304,Broome L,1696
BROOME L,304,Broome L,1697
FITZGERALD AV,303,Fitzgerald Av,1699
FITZGERALD AV,303,Fitzgerald Av,1700
BRIDGES ST,304,Bridges St,1701
BRIDGES ST,304,Bridges St,1702
ROAD,304,Road,1723
MAROUBRA RD,303,Maroubra Rd,1984
MARINE PDE,303,Marine Pde,1986
ROUNDABOUT,303,Roundabout,1987
ROUNDABOUT,303,Roundabout,1988
ROUNDABOUT,303,Roundabout,1989
MALABAR RD,302,Malabar Rd,1990
MALABAR RD,302,Malabar Rd,1995
DUNCAN ST,304,Duncan St,1996
ROUNDABOUT,302,Roundabout,1998
ROUNDABOUT,302,Roundabout,1999
ROAD,304,Road,2098
ROAD,304,Road,2099
FITZGERALD AV,303,Fitzgerald Av,2100
FITZGERALD AV,303,Fitzgerald Av,2101
ROAD,304,Road,2102
