STREET,ROADTYPE,Name,roadid
MEAGHER AV,304,Meagher Av,100
MALABAR RD,302,Malabar Rd,101
MALABAR RD,302,Malabar Rd,102
TYRWHITT ST,304,Tyrwhitt St,104
MALABAR RD,302,Malabar Rd,105
MALABAR RD,302,Malabar Rd,106
YORKTOWN PDE,304,Yorktown Pde,107
MALABAR RD,302,Malabar Rd,108
MALABAR RD,302,Malabar Rd,109
BRIDGES ST,304,Bridges St,110
ROUNDABOUT,302,Roundabout,162
BOUGAINVILLE CT,304,Bougainville Ct,172
MORRIS PL,304,Morris Pl,173
ROUNDABOUT,302,Roundabout,183
ROUNDABOUT,302,Roundabout,206
ROUNDABOUT,302,Roundabout,208
MALABAR RD,302,Malabar Rd,236
MALABAR RD,302,Malabar Rd,256
FITZGERALD AV,303,Fitzgerald Av,257
MALABAR RD,302,Malabar Rd,277
BEAUCHAMP RD,302,Beauchamp Rd,278
MALABAR RD,302,Malabar Rd,279
FITZGERALD AV,303,Fitzgerald Av,541
FITZGERALD AV,303,Fitzgerald Av,542
PERKINS WY,304,Perkins Wy,543
FITZGERALD AV,303,Fitzgerald Av,544
YORKTOWN PDE,304,Yorktown Pde,545
COLLIER PL,304,Collier Pl,546
MINNEAPOLIS CR,304,Minneapolis Cr,547
YORKTOWN PDE,304,Yorktown Pde,548
MINNEAPOLIS CR,304,Minneapolis Cr,549
SIMS GR,304,Sims Gr,570
LEXINGTON PL,304,Lexington Pl,571
PORTLAND CR,304,Portland Cr,572
OSPREY CT,304,Osprey Ct,573
CHICAGO AV,304,Chicago Av,574
RUSSELL CT,304,Russell Ct,825
PORTLAND CR,304,Portland Cr,826
PORTLAND CR,304,Portland Cr,827
DEWEY CT,304,Dewey Ct,828
PORTLAND CR,304,Portland Cr,829
CHICAGO AV,304,Chicago Av,855
MINNEAPOLIS CR,304,Minneapolis Cr,856
CHESTER AV,304,Chester Av,857
MIDWAY DR,304,Midway Dr,892
CHESTER AV,304,Chester Av,893
FITZGERALD AV,303,Fitzgerald Av,999
CHESTER AV,304,Chester Av,1000
YORKTOWN PDE,304,Yorktown Pde,1001
CHESTER AV,304,Chester Av,1002
PORTLAND CR,304,Portland Cr,1105
PORTLAND CR,304,Portland Cr,1106
CHICAGO AV,304,Chicago Av,1107
NEW ORLEANS CR,304,New Orleans Cr,1481
FITZGERALD AV,303,Fitzgerald Av,1623
NEW ORLEANS CR,304,New Orleans Cr,1625
YORKTOWN PDE,304,Yorktown Pde,1626
FITZGERALD AV,303,Fitzgerald Av,1698
NEW ORLEANS CR,304,New Orleans Cr,2032
NEW ORLEANS CR,304,New Orleans Cr,2033
MINNEAPOLIS CR,304,Minneapolis Cr,2034
MINNEAPOLIS CR,304,Minneapolis Cr,2035
SIMS L,304,Sims L,2036
MINNEAPOLIS CR,304,Minneapolis Cr,2037
MINNEAPOLIS CR,304,Minneapolis Cr,2038
NEW ORLEANS CR,304,New Orleans Cr,2039
NEW ORLEANS CR,304,New Orleans Cr,2040
NEOSHO WY,304,Neosho Wy,2041
COLLIER PL,304,Collier Pl,2042
