TZ id,1 bed,2 bed,3 bed,4 bed
270,368,421,223,65
276,171,247,86,31
277,103,97,23,9
278,340,237,77,31
279,44,71,8,3
283,32,30,2,0
284,70,82,54,42
285,221,368,142,46
287,73,100,49,30
288,19,44,24,8
292,134,227,217,115
294,110,193,188,155
507,45,59,60,70
508,248,344,256,224
509,639,653,338,136
510,152,171,94,46
511,327,299,177,98
512,427,469,226,157
513,256,281,202,132
514,131,113,55,24
515,522,513,198,108
516,602,580,274,128
517,282,334,201,137
518,382,484,269,178
519,125,148,98,77
520,47,54,50,55
521,408,461,221,90
522,195,298,167,74
523,362,447,232,116
524,77,106,131,144
525,361,458,376,209
526,413,584,384,175
527,56,53,52,56
528,441,530,339,211
529,577,536,247,109
530,155,241,213,129
531,789,746,303,124
532,289,256,296,223
533,55,68,85,86
534,44,64,68,56
535,106,132,129,106
536,564,403,242,241
537,304,482,288,146
538,132,251,195,157
539,125,116,141,139
540,311,372,357,268
541,184,227,225,148
542,151,197,201,128
543,347,346,218,176
544,163,135,107,84
545,485,362,211,99
546,297,348,155,80
547,310,322,193,110
548,261,158,159,168
549,102,126,131,121
550,134,160,136,137
551,125,197,218,230
552,45,75,78,79
553,32,49,40,49
554,243,324,333,329
555,329,237,221,166
556,27,38,48,44
557,185,123,127,125
558,46,74,88,91
